y,z,phi,vy,vz,phi_dot
0.52763,1.9803,0.076223,0.12425,2.6796,-1.6726
0.52882,2.0072,0.06038,0.11516,2.7144,-1.4914
0.52994,2.0345,0.046475,0.10805,2.7494,-1.2864
0.53099,2.0622,0.034705,0.10264,2.7844,-1.0655
0.532,2.0902,0.025192,0.098654,2.8194,-0.83626
0.53297,2.1186,0.017989,0.095779,2.8544,-0.60431
0.53392,2.1473,0.013106,0.09371,2.8895,-0.37217
0.53485,2.1764,0.010544,0.092139,2.9242,-0.14025
0.53576,2.2058,0.010299,0.090764,2.958,0.091076
0.53666,2.2355,0.012363,0.089289,2.9903,0.32141
0.53755,2.2656,0.016724,0.087432,3.0201,0.55054
0.53841,2.2959,0.023369,0.084931,3.0471,0.77846
0.53924,2.3265,0.032289,0.081552,3.0706,1.0054
0.54003,2.3573,0.043477,0.077084,3.0907,1.232
0.54078,2.3883,0.056931,0.071333,3.1072,1.459
0.54145,2.4195,0.07266,0.064115,3.1205,1.6871
0.54205,2.4507,0.090681,0.055238,3.131,1.9175
0.54255,2.4821,0.11102,0.044492,3.1391,2.151
0.54293,2.5135,0.13371,0.031635,3.1455,2.3885
0.54317,2.545,0.15881,0.016387,3.1509,2.6306
0.54324,2.5765,0.18634,-0.0015734,3.1558,2.8776
0.54312,2.6081,0.21637,-0.022609,3.1607,3.1297
0.54277,2.6397,0.24895,-0.04711,3.1659,3.3863
0.54216,2.6714,0.28411,-0.075484,3.1717,3.6467
0.54124,2.7032,0.32189,-0.10812,3.178,3.9097
0.53998,2.735,0.36231,-0.14538,3.1845,4.1736
0.53831,2.7669,0.40536,-0.18755,3.1908,4.4363
0.5362,2.7988,0.45102,-0.23479,3.1963,4.6956
0.53359,2.8308,0.49925,-0.28712,3.2,4.9488
0.53043,2.8628,0.54997,-0.3444,3.2009,5.1931
0.52668,2.8948,0.60308,-0.40623,3.1981,5.4257
0.52229,2.9267,0.65844,-0.47201,3.1902,5.6439
0.51722,2.9586,0.7159,-0.54087,3.1762,5.8451
0.51146,2.9902,0.77528,-0.61169,3.155,6.0271
0.50499,3.0216,0.83637,-0.68313,3.1256,6.1882
0.4978,3.0527,0.89897,-0.75362,3.0875,6.3271
0.48993,3.0834,0.96284,-0.82149,3.04,6.4433
0.48139,3.1135,1.0278,-0.88496,2.9833,6.5372
0.47226,3.143,1.0935,-0.94233,2.9174,6.6097
0.46259,3.1718,1.1599,-0.99203,2.8431,6.6626
0.45246,3.1998,1.2267,-1.0328,2.7613,6.6985
0.44198,3.227,1.2938,-1.0639,2.6732,6.7205
0.43123,3.2533,1.3611,-1.0852,2.5805,6.7321
0.42032,3.2786,1.4284,-1.0975,2.4846,6.7368
0.40932,3.303,1.4958,-1.1027,2.387,6.738
0.39829,3.3263,1.5632,-1.1038,2.289,6.7381
0.38725,3.3487,1.6306,-1.1038,2.1909,6.7381
0.37621,3.3702,1.6979,-1.1038,2.0928,6.7381
0.36517,3.3906,1.7653,-1.1038,1.9947,6.7381
0.35413,3.4101,1.8327,-1.1038,1.8966,6.7381
0.3431,3.4285,1.9001,-1.1038,1.7985,6.7381
0.33206,3.446,1.9675,-1.1038,1.7004,6.7381
0.32102,3.4625,2.0349,-1.1038,1.6023,6.7381
0.30998,3.4781,2.1022,-1.1038,1.5042,6.7381
0.29895,3.4926,2.1696,-1.1038,1.4061,6.7381
0.28791,3.5062,2.237,-1.1038,1.308,6.7381
0.27687,3.5188,2.3044,-1.1038,1.2099,6.7381
0.26583,3.5304,2.3718,-1.1038,1.1118,6.7381
0.2548,3.541,2.4391,-1.1038,1.0137,6.7381
0.24376,3.5507,2.5065,-1.1038,0.91558,6.7381
0.23272,3.5593,2.5739,-1.1038,0.81748,6.7381
0.22168,3.567,2.6413,-1.1038,0.71938,6.7381
0.21065,3.5737,2.7087,-1.1038,0.62128,6.7381
0.19961,3.5794,2.776,-1.1038,0.52318,6.7381
0.18857,3.5842,2.8434,-1.1038,0.42508,6.7381
0.17753,3.5879,2.9108,-1.1038,0.32698,6.7381
0.1665,3.5907,2.9782,-1.1038,0.22888,6.7381
0.15546,3.5925,3.0456,-1.1038,0.13078,6.7381
0.14442,3.5933,3.113,-1.1038,0.032679,6.7381
0.13338,3.5932,3.1803,-1.1038,-0.065421,6.7381
0.12235,3.592,3.2477,-1.1038,-0.16352,6.7381
0.11131,3.5899,3.3151,-1.1038,-0.26162,6.7381
0.10027,3.5868,3.3825,-1.1038,-0.35972,6.7381
0.089233,3.5827,3.4499,-1.1038,-0.45782,6.7381
0.078195,3.5776,3.5172,-1.1038,-0.55592,6.7381
0.067158,3.5716,3.5846,-1.1038,-0.65402,6.7381
0.05612,3.5646,3.652,-1.1038,-0.75212,6.7381
0.045082,3.5565,3.7194,-1.1038,-0.85022,6.7381
0.034045,3.5476,3.7868,-1.1038,-0.94832,6.7381
0.023007,3.5376,3.8541,-1.1038,-1.0464,6.7381
0.01197,3.5266,3.9215,-1.1038,-1.1445,6.7381
0.00093217,3.5147,3.9889,-1.1038,-1.2426,6.7381
-0.010105,3.5018,4.0563,-1.1038,-1.3407,6.7381
-0.021143,3.4879,4.1237,-1.1038,-1.4388,6.7381
-0.032181,3.473,4.1911,-1.1038,-1.5369,6.7381
-0.043218,3.4571,4.2584,-1.1038,-1.635,6.7381
-0.054256,3.4403,4.3258,-1.1038,-1.7331,6.7381
-0.065293,3.4225,4.3932,-1.1038,-1.8312,6.7381
-0.076331,3.4037,4.4606,-1.1038,-1.9293,6.7381
-0.087368,3.3839,4.528,-1.1038,-2.0274,6.7381
-0.098406,3.3631,4.5953,-1.1038,-2.1255,6.7381
-0.10944,3.3414,4.6627,-1.1038,-2.2236,6.7381
-0.12048,3.3187,4.7301,-1.1038,-2.3217,6.7381
-0.13152,3.2949,4.7975,-1.1034,-2.4198,6.7381
-0.14254,3.2703,4.8649,-1.1016,-2.5177,6.7377
-0.15354,3.2446,4.9322,-1.097,-2.6149,6.7361
-0.16446,3.218,4.9996,-1.0886,-2.7108,6.7321
-0.17529,3.1904,5.0669,-1.0758,-2.8046,6.7241
-0.18595,3.1619,5.134,-1.058,-2.8955,6.7104
-0.19642,3.1325,5.201,-1.0354,-2.9824,6.6894
-0.20664,3.1022,5.2678,-1.0079,-3.0646,6.6592
-0.21656,3.0712,5.3342,-0.97592,-3.1413,6.6182
-0.22614,3.0394,5.4001,-0.94001,-3.2118,6.5649
-0.23534,3.007,5.4654,-0.90079,-3.2753,6.4978
-0.24414,2.974,5.53,-0.85902,-3.3316,6.4158
-0.25251,2.9404,5.5937,-0.8155,-3.38,6.3179
-0.26044,2.9064,5.6563,-0.77111,-3.4205,6.2036
-0.26793,2.872,5.7177,-0.72669,-3.453,6.0723
-0.27498,2.8374,5.7777,-0.6831,-3.4774,5.924
-0.2816,2.8025,5.8361,-0.64115,-3.494,5.7587
-0.28782,2.7675,5.8928,-0.60158,-3.503,5.5768
-0.29365,2.7325,5.9476,-0.56508,-3.5047,5.379
-0.29914,2.6974,6.0004,-0.53222,-3.4997,5.166
-0.30432,2.6625,6.0509,-0.50349,-3.4884,4.9389
-0.30923,2.6277,6.0991,-0.47927,-3.4716,4.699
-0.31393,2.5931,6.1448,-0.45982,-3.4497,4.4477
-0.31845,2.5587,6.188,-0.44529,-3.4236,4.1865
-0.32286,2.5246,6.2285,-0.43573,-3.3938,3.9171
-0.32719,2.4908,6.2663,-0.43108,-3.3611,3.6412
-0.3315,2.4574,6.3014,-0.43118,-3.3262,3.3607
-0.33584,2.4243,6.3335,-0.4358,-3.2897,3.0773
-0.34024,2.3916,6.3629,-0.44464,-3.2522,2.7928
-0.34475,2.3593,6.3894,-0.45732,-3.2143,2.5092
-0.3494,2.3273,6.4131,-0.47344,-3.1765,2.2281
-0.35423,2.2957,6.434,-0.49256,-3.1392,1.9512
-0.35927,2.2645,6.4521,-0.51424,-3.1028,1.68
-0.36453,2.2337,6.4676,-0.53804,-3.0676,1.4162
-0.37003,2.2032,6.4805,-0.56352,-3.0338,1.161
-0.3758,2.173,6.4909,-0.59029,-3.0015,0.91558
-0.38185,2.1431,6.4988,-0.61797,-2.9708,0.68101
-0.38817,2.1136,6.5045,-0.64621,-2.9416,0.45816
-0.39477,2.0843,6.508,-0.67474,-2.914,0.2477
-0.40166,2.0553,6.5095,-0.70329,-2.8877,0.050157
-0.40884,2.0265,6.5091,-0.73164,-2.8626,-0.13415
-0.41629,1.998,6.5069,-0.75961,-2.8384,-0.30509
-0.42403,1.9698,6.503,-0.78704,-2.8148,-0.46267
-0.43203,1.9417,6.4977,-0.81381,-2.7917,-0.60711
-0.4403,1.9139,6.4909,-0.8398,-2.7685,-0.73878
-0.44882,1.8864,6.4829,-0.86492,-2.7451,-0.85817
-0.45759,1.859,6.4738,-0.88905,-2.7211,-0.96595
-0.4666,1.8319,6.4636,-0.91212,-2.6963,-1.0629
-0.47583,1.8051,6.4526,-0.93403,-2.6704,-1.1498
-0.48527,1.7785,6.4407,-0.95468,-2.6433,-1.2277
-0.49491,1.7523,6.4281,-0.97397,-2.6148,-1.2976
-0.50474,1.7263,6.4148,-0.99178,-2.5848,-1.3605
-0.51474,1.7006,6.4009,-1.008,-2.5533,-1.4174
-0.52489,1.6752,6.3864,-1.0225,-2.5204,-1.4694
-0.53518,1.6502,6.3715,-1.0352,-2.4862,-1.5174
-0.54559,1.6255,6.3561,-1.046,-2.4508,-1.5625
-0.55609,1.6011,6.3402,-1.0548,-2.4144,-1.6054
-0.56667,1.5772,6.324,-1.0614,-2.3774,-1.6469
-0.57731,1.5536,6.3073,-1.0658,-2.3398,-1.6876
-0.58798,1.5304,6.2902,-1.0679,-2.3021,-1.7278
-0.59866,1.5076,6.2728,-1.0677,-2.2642,-1.768
-0.60932,1.4851,6.2549,-1.065,-2.2264,-1.8081
-0.61995,1.463,6.2366,-1.0599,-2.1885,-1.8469
-0.63051,1.4413,6.2179,-1.0523,-2.1507,-1.882
-0.64098,1.42,6.199,-1.0422,-2.113,-1.9097
-0.65134,1.3991,6.1798,-1.0294,-2.0754,-1.9259
-0.66155,1.3785,6.1605,-1.014,-2.038,-1.9264
-0.6716,1.3583,6.1413,-0.99601,-2.0007,-1.9076
-0.68146,1.3385,6.1224,-0.97541,-1.9638,-1.866
-0.6911,1.319,6.1041,-0.95228,-1.927,-1.7992
-0.70049,1.2999,6.0865,-0.9267,-1.8906,-1.7056
-0.70962,1.2812,6.0701,-0.8988,-1.8544,-1.5843
-0.71846,1.2629,6.0549,-0.86874,-1.8185,-1.4358
-0.72699,1.2449,6.0414,-0.83673,-1.7829,-1.2613
-0.73519,1.2272,6.0298,-0.80301,-1.7476,-1.0628
-0.74304,1.2099,6.0203,-0.76783,-1.7125,-0.84344
-0.75054,1.1929,6.013,-0.73151,-1.6776,-0.60673
-0.75767,1.1763,6.0082,-0.69437,-1.6428,-0.35697
-0.76442,1.1601,6.0059,-0.65674,-1.6082,-0.098887
-0.7708,1.1442,6.0062,-0.61899,-1.5736,0.16251
-0.7768,1.1286,6.0091,-0.58147,-1.539,0.42205
-0.78243,1.1134,6.0146,-0.54453,-1.5043,0.67453
