y,z,phi,vy,vz,phi_dot
0,1.3559,3.0882E-15,0,6.5312E-16,8.2318E-14
-2.8515E-07,1.356,0.0010228,-5.7031E-05,0.0070402,0.29265
-3.2897E-06,1.3561,0.0070916,-0.00054387,0.025603,0.95904
-1.7432E-05,1.3565,0.020547,-0.0022846,0.052161,1.7306
-6.0394E-05,1.3572,0.041369,-0.0063078,0.083602,2.404
-0.00015945,1.3582,0.067831,-0.013504,0.11723,2.8408
-0.00034882,1.3595,0.097145,-0.024368,0.15075,2.9678
-0.00066501,1.3612,0.12612,-0.038871,0.18231,2.7771
-0.0011418,1.3632,0.15181,-0.056491,0.21044,2.3255
-0.0018061,1.3654,0.17216,-0.076357,0.2341,1.7352
-0.0026753,1.3678,0.18667,-0.097495,0.25266,1.1934
-0.0037584,1.3704,0.19702,-0.11911,0.26592,0.95254
-0.0050676,1.3732,0.20643,-0.14272,0.28357,0.91259
-0.0066295,1.3761,0.21506,-0.16966,0.31171,0.80781
-0.0084725,1.3794,0.22252,-0.19895,0.34561,0.6832
-0.010615,1.383,0.22878,-0.22962,0.38139,0.57369
-0.013068,1.387,0.23413,-0.26085,0.41598,0.50414
-0.015832,1.3914,0.23904,-0.29198,0.44713,0.48937
-0.018905,1.396,0.24411,-0.3226,0.47341,0.53412
-0.022281,1.4008,0.24991,-0.35258,0.49421,0.63309
-0.025954,1.4058,0.2569,-0.38203,0.50976,0.77089
-0.02992,1.411,0.26537,-0.41131,0.52109,0.9221
-0.034182,1.4162,0.27527,-0.44104,0.53006,1.0512
-0.038748,1.4216,0.28617,-0.47209,0.53936,1.1127
-0.043617,1.427,0.28889,-0.50168,0.53999,-1.2615
-0.048759,1.4324,0.25272,-0.52674,0.53101,-6.1296
-0.054124,1.4376,0.16746,-0.54631,0.52461,-10.675
-0.059641,1.4429,0.047121,-0.55699,0.52868,-12.875
-0.065199,1.4482,-0.078037,-0.55474,0.5468,-11.5
-0.070665,1.4539,-0.16941,-0.53837,0.57829,-6.1124
-0.075924,1.4598,-0.18801,-0.51357,0.61814,2.9301
-0.08096,1.4662,-0.10237,-0.4935,0.65709,14.477
-0.085889,1.4729,0.1035,-0.4924,0.68155,26.586
-0.090917,1.4797,0.42219,-0.51315,0.67367,36.52
-0.096124,1.4862,0.81496,-0.5282,0.61128,40.747
-0.10141,1.4919,1.2224,-0.5282,0.51318,40.747
-0.10669,1.4965,1.6299,-0.5282,0.41508,40.747
-0.11197,1.5002,2.0374,-0.5282,0.31698,40.747
-0.11725,1.5028,2.4449,-0.5282,0.21888,40.747
-0.12253,1.5045,2.8523,-0.5282,0.12078,40.747
-0.12782,1.5052,3.2598,-0.5282,0.022679,40.747
-0.1331,1.505,3.6673,-0.5282,-0.075421,40.747
-0.13838,1.5037,4.0748,-0.5282,-0.17352,40.747
-0.14366,1.5015,4.4822,-0.5282,-0.27162,40.747
-0.14894,1.4983,4.8897,-0.5282,-0.36972,40.747
-0.15423,1.4941,5.2972,-0.5282,-0.46782,40.747
-0.15945,1.489,5.6914,-0.51582,-0.54698,36.924
-0.1645,1.4833,6.0184,-0.49425,-0.59232,27.893
-0.16938,1.4773,6.2424,-0.48319,-0.60978,16.794
-0.17423,1.4712,6.3556,-0.48536,-0.60506,6.0685
-0.17913,1.4652,6.3709,-0.49497,-0.58367,-2.5332
-0.18412,1.4595,6.3156,-0.5027,-0.5509,-7.9568
-0.18913,1.4542,6.2237,-0.50075,-0.51181,-9.8425
-0.19407,1.4493,6.1295,-0.48594,-0.47126,-8.5249
-0.1988,1.4448,6.0605,-0.46028,-0.43388,-5.0333
-0.20325,1.4406,6.0304,-0.42945,-0.4041,-1.0914
-0.20739,1.4367,6.0322,-0.39966,-0.38614,0.88247
-0.21125,1.4328,6.0406,-0.37265,-0.37727,0.75021
-0.21485,1.4291,6.0465,-0.347,-0.37058,0.41647
-0.2182,1.4254,6.0486,-0.32186,-0.36409,-0.008936
-0.22129,1.4218,6.0463,-0.2964,-0.35625,-0.43602
-0.22412,1.4183,6.0401,-0.26985,-0.34593,-0.7946
-0.22668,1.4149,6.0308,-0.2416,-0.33241,-1.0343
-0.22894,1.4117,6.0199,-0.21124,-0.3154,-1.1246
-0.23089,1.4086,6.0089,-0.17861,-0.29502,-1.0547
-0.2325,1.4058,5.9993,-0.14387,-0.27182,-0.83379
-0.23376,1.4032,5.9926,-0.10752,-0.24675,-0.49064
-0.23465,1.4009,5.9898,-0.070396,-0.22119,-0.073996
-0.23517,1.3988,5.9912,-0.033581,-0.19695,0.34763
-0.23533,1.3969,5.9964,0.0017335,-0.17625,0.6859
-0.23515,1.3952,6.0042,0.034411,-0.16171,0.83268
-0.23465,1.3936,6.0141,0.06422,-0.15424,1.254
-0.23387,1.3921,6.031,0.091711,-0.14961,2.1745
-0.23283,1.3907,6.0579,0.11699,-0.14403,3.1872
-0.23155,1.3893,6.094,0.13953,-0.13488,3.9887
-0.23006,1.388,6.1362,0.15853,-0.12073,4.3795
-0.2284,1.3869,6.1799,0.17325,-0.10133,4.2638
-0.22662,1.386,6.2198,0.18337,-0.077627,3.6495
-0.22475,1.3853,6.2516,0.18925,-0.05174,2.6486
-0.22285,1.3849,6.2722,0.19187,-0.02698,1.4765
-0.22092,1.3848,6.2816,0.19262,-0.0078397,0.45262
-0.219,1.3847,6.2832,0.19271,3.1586E-14,3.1453E-13
