y,z,phi,vy,vz,phi_dot
-0.043393,1.4321,6.3067,-0.060403,-0.73663,-0.73128
-0.044011,1.4249,6.2977,-0.06308,-0.6937,-1.0144
-0.044648,1.4182,6.2871,-0.06439,-0.65035,-1.0676
-0.045291,1.4119,6.2771,-0.064243,-0.60759,-0.91278
-0.045927,1.406,6.2694,-0.062849,-0.56561,-0.61882
-0.046544,1.4006,6.2649,-0.060605,-0.52403,-0.27164
-0.047137,1.3956,6.2639,-0.057985,-0.48255,0.076773
-0.047704,1.3909,6.2663,-0.055475,-0.44168,0.38706
-0.048249,1.3867,6.2714,-0.053496,-0.40208,0.6021
-0.048778,1.3829,6.2779,-0.052325,-0.36373,0.68246
-0.0493,1.3795,6.2845,-0.052057,-0.32587,0.62394
-0.049823,1.3764,6.29,-0.052616,-0.28741,0.45644
-0.050356,1.3737,6.2935,-0.053799,-0.24743,0.23208
-0.050901,1.3714,6.2947,-0.05532,-0.2057,0.0090581
-0.051462,1.3696,6.2938,-0.056874,-0.16302,-0.16373
-0.052037,1.3682,6.2916,-0.058209,-0.12115,-0.25783
-0.052624,1.3672,6.2889,-0.059182,-0.082619,-0.26988
-0.053219,1.3665,6.2865,-0.059775,-0.050078,-0.21925
-0.053818,1.3661,6.2847,-0.06007,-0.02562,-0.13931
-0.05442,1.366,6.2837,-0.060182,-0.010055,-0.064666
-0.055022,1.3659,6.2833,-0.060212,-0.0024461,-0.017986
-0.055624,1.3659,6.2832,-0.060216,-0.00018691,-0.0015333
-0.056226,1.3659,6.2832,-0.060216,1.8007E-11,5.2171E-10
