Thrust,Torque
0.14224,-2.6955E-18
0.1644,0.00075689
0.18088,0.0011435
0.19226,0.0012298
0.19915,0.0010855
0.20219,0.00078062
0.202,0.00038492
0.19913,-3.1714E-05
0.19408,-0.00039941
0.18729,-0.00064831
0.17918,-0.00070854
0.17024,-0.00051025
0.16105,1.6424E-05
0.18286,-0.0010471
0.19791,-0.0015354
0.20671,-0.0015629
0.21002,-0.0012442
0.20887,-0.00069404
0.20442,-2.6871E-05
0.19781,0.00064268
0.19008,0.0012
0.18219,0.0015306
0.17499,0.0015198
0.1693,0.001053
0.1659,1.5702E-05
0.18522,-0.0043429
0.19108,-0.0050265
0.1853,-0.0029694
0.171,0.00089362
0.15098,0.0056281
0.12701,0.010299
0.10069,0.013973
0.074377,0.015715
0.050339,0.014589
0.02835,0.0096626
-5.791E-14,8.7333E-17
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.05882,-0.0072772
0.088375,-0.011858
0.11268,-0.014125
0.13467,-0.01446
0.15227,-0.013246
0.16351,-0.010864
0.16906,-0.0076974
0.17173,-0.0041282
0.17445,-0.00053874
0.17883,0.0026888
0.18478,0.0051722
0.19082,0.0065291
0.1951,0.0063772
0.19715,0.0043343
0.19899,1.8105E-05
0.19512,0.00036683
0.19463,0.00048486
0.19624,0.00042584
0.19884,0.0002434
0.20144,-8.8046E-06
0.20313,-0.00027714
0.20303,-0.00050796
0.20022,-0.00064762
0.19375,-0.00064248
0.18257,-0.00043889
0.16555,1.6775E-05
0.1692,0.0012804
0.17495,0.0018313
0.18154,0.0018142
0.18805,0.0013741
0.19375,0.00065568
0.19802,-0.00019619
0.20016,-0.0010367
0.19925,-0.001721
0.19418,-0.0021043
0.18376,-0.0020418
0.1668,-0.0013886
0.14224,-8.2664E-17
