y,z,phi,vy,vz,phi_dot
0,1.2012,1.6289E-15,0,2.9308E-15,-6.7504E-15
-8.7944E-09,1.2012,3.4237E-05,-1.7589E-06,0.0023561,0.010143
-1.0575E-07,1.2013,0.00026377,-1.7632E-05,0.0091707,0.038564
-5.9023E-07,1.2014,0.00085678,-7.9265E-05,0.020072,0.082372
-2.1795E-06,1.2017,0.0019534,-0.00023859,0.034699,0.13884
-6.2033E-06,1.2021,0.0036672,-0.00056617,0.052702,0.20541
-1.4778E-05,1.2028,0.0060872,-0.0011489,0.073744,0.27967
-3.0957E-05,1.2036,0.0092789,-0.0020869,0.097496,0.35941
-5.8846E-05,1.2047,0.013287,-0.0034908,0.12364,0.44254
-0.00010369,1.2061,0.018135,-0.0054778,0.15188,0.52715
-0.00017192,1.2078,0.023829,-0.0081685,0.18192,0.61151
-0.00027118,1.2097,0.030359,-0.011684,0.21346,0.69404
-0.00041031,1.212,0.037699,-0.016141,0.24626,0.77331
-0.00059927,1.2147,0.04581,-0.021652,0.28004,0.84809
-0.00084912,1.2176,0.054642,-0.028318,0.31455,0.91728
-0.0011719,1.221,0.064134,-0.036233,0.34956,0.97996
-0.0015804,1.2246,0.074217,-0.045474,0.38484,1.0354
-0.0020883,1.2287,0.084815,-0.056105,0.42018,1.0829
-0.0027097,1.233,0.095847,-0.068177,0.45537,1.1222
-0.0034592,1.2378,0.10723,-0.081721,0.49023,1.1528
-0.0043516,1.2428,0.11887,-0.096754,0.52456,1.1748
-0.0054017,1.2483,0.1307,-0.11328,0.55821,1.1882
-0.0066245,1.254,0.14261,-0.13127,0.591,1.1932
-0.0080344,1.2601,0.15454,-0.15071,0.6228,1.1903
-0.0096457,1.2665,0.16639,-0.17155,0.65346,1.1798
-0.011472,1.2731,0.17811,-0.19373,0.68287,1.1627
-0.013527,1.2801,0.18963,-0.21718,0.7109,1.1397
-0.015822,1.2873,0.20089,-0.24183,0.73746,1.1118
-0.018369,1.2948,0.21185,-0.26759,0.76245,1.0804
-0.021179,1.3026,0.22249,-0.29438,0.7858,1.0468
-0.024261,1.3106,0.23278,-0.32211,0.80743,1.0124
-0.027625,1.3187,0.24274,-0.35069,0.82728,0.97908
-0.031279,1.3271,0.25237,-0.38004,0.84532,0.94861
-0.035229,1.3356,0.26173,-0.41008,0.8615,0.92304
-0.039483,1.3443,0.27086,-0.44073,0.8758,0.90455
-0.044047,1.3531,0.27985,-0.47195,0.88821,0.89549
-0.048925,1.3621,0.28881,-0.50369,0.89872,0.8984
-0.054133,1.3711,0.2977,-0.53782,0.91388,0.86606
-0.0597,1.3804,0.30591,-0.57571,0.93772,0.7674
-0.06566,1.3899,0.31291,-0.6163,0.96683,0.62702
-0.072034,1.3997,0.31838,-0.65851,0.9982,0.4666
-0.078833,1.4099,0.32223,-0.7013,1.0293,0.30484
-0.086058,1.4203,0.32453,-0.74372,1.0579,0.15751
-0.093702,1.431,0.32548,-0.78495,1.0823,0.037412
-0.10175,1.4419,0.3254,-0.82441,1.1012,-0.045593
-0.11018,1.453,0.32471,-0.86166,1.1136,-0.084601
-0.11897,1.4642,0.32387,-0.89651,1.1192,-0.07566
-0.1281,1.4754,0.32336,-0.92898,1.1179,-0.017768
-0.13754,1.4865,0.32367,-0.95924,1.11,0.087124
-0.14727,1.4976,0.32524,-0.98766,1.0963,0.23411
-0.15728,1.5084,0.32847,-1.0148,1.078,0.41535
-0.16756,1.5191,0.33363,-1.0412,1.0568,0.62002
-0.17811,1.5296,0.3409,-1.068,1.0347,0.83437
-0.18893,1.5398,0.35029,-1.096,1.0141,1.0417
-0.20004,1.5499,0.36165,-1.1266,0.99807,1.2223
-0.21148,1.5598,0.37458,-1.1614,0.98979,1.3537
-0.2233,1.5697,0.38847,-1.2023,0.99302,1.4101
-0.23556,1.5797,0.40022,-1.2486,1.0067,0.73234
-0.24829,1.5898,0.40017,-1.2973,1.0241,-0.83478
-0.2615,1.6002,0.3827,-1.3446,1.0407,-2.6527
-0.27515,1.6106,0.34802,-1.3868,1.053,-4.203
-0.28919,1.6212,0.30088,-1.4215,1.058,-5.0873
-0.30354,1.6318,0.24943,-1.448,1.0533,-5.0271
-0.31812,1.6422,0.20402,-1.467,1.037,-3.8643
-0.33285,1.6525,0.17596,-1.4804,1.0081,-1.5607
