Thrust,Torque
0.14812,-5.9489E-05
0.15423,-0.00010202
0.16053,-0.00012868
0.16694,-0.00014058
0.17342,-0.00013881
0.17991,-0.00012448
0.18635,-9.8669E-05
0.1927,-6.2491E-05
0.19889,-1.7038E-05
0.20487,3.659E-05
0.21058,9.7296E-05
0.21596,0.00016398
0.22095,0.00023555
0.22548,0.0003109
0.22949,0.00038893
0.23291,0.00046855
0.2357,0.00054866
0.23779,0.00062816
0.23915,0.00070595
0.23976,0.00078093
0.23961,0.00085201
0.23872,0.00091808
0.23713,0.00097806
0.23491,0.0010308
0.23216,0.0010753
0.22897,0.0011104
0.22549,0.001135
0.22186,0.001148
0.21821,0.0011483
0.21472,0.0011348
0.21153,0.0011064
0.2088,0.0010621
0.20669,0.0010006
0.20534,0.00092102
0.20492,0.00082212
0.20559,0.00070285
0.2075,0.0005621
0.21085,0.00039877
0.21582,0.00021177
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.17648,-0.00016723
0.1733,-0.00031796
0.17137,-0.00045278
0.17059,-0.00057231
0.17084,-0.00067714
0.17203,-0.00076788
0.17408,-0.00084515
0.17688,-0.00090954
0.18036,-0.00096167
0.18443,-0.0010021
0.18897,-0.0010315
0.19389,-0.0010505
0.19908,-0.0010596
0.2044,-0.0010595
0.20975,-0.0010507
0.21497,-0.0010339
0.21996,-0.0010097
0.22458,-0.00097868
0.22872,-0.00094144
0.23228,-0.0008986
0.2352,-0.00085077
0.2374,-0.00079854
0.23886,-0.00074252
0.23957,-0.00068333
0.23954,-0.00062156
0.23881,-0.00055782
0.23741,-0.00049272
0.23541,-0.00042686
0.23287,-0.00036085
0.22986,-0.0002953
0.22644,-0.00023081
0.22268,-0.00016798
0.21863,-0.00010743
0.21436,-4.976E-05
0.2099,4.4291E-06
0.20529,5.4528E-05
0.20058,9.993E-05
0.19578,0.00014003
0.19094,0.00017422
0.18607,0.0002019
0.1812,0.00022246
0.17636,0.00023529
0.17156,0.00023979
0.16683,0.00023536
0.16221,0.00022138
0.15771,0.00019725
0.15338,0.00016236
0.14923,0.00011612
0.14531,5.7907E-05
