y,z,phi,vy,vz,phi_dot
0,1.595,3.5707E-12,0,-1.1979E-11,-4.823E-11
-7.7365E-12,1.595,3.1534E-08,-1.5473E-09,5.8827E-06,1.5571E-05
-2.6394E-10,1.595,9.4837E-07,-4.9694E-08,8.8991E-05,0.00023118
-2.6619E-09,1.595,6.7637E-06,-4.2989E-07,0.00042563,0.0010846
-1.5269E-08,1.595,2.6749E-05,-2.0915E-06,0.0012699,0.0031727
-6.2012E-08,1.595,7.6548E-05,-7.2572E-06,0.0029246,0.0071598
-1.9909E-07,1.5951,0.00017848,-2.0159E-05,0.005716,0.013705
-5.3918E-07,1.5952,0.00036118,-4.7859E-05,0.0099731,0.023406
-1.2841E-06,1.5953,0.00065877,-0.00010112,0.01601,0.036757
-2.7662E-06,1.5955,0.0011097,-0.00019529,0.024111,0.054122
-5.4984E-06,1.5958,0.0017553,-0.00035115,0.034521,0.075717
-1.0232E-05,1.5962,0.0026384,-0.00059563,0.047437,0.1016
-1.8023E-05,1.5967,0.0038014,-0.00096243,0.063001,0.13169
-3.0296E-05,1.5975,0.0052853,-0.0014923,0.081297,0.16573
-4.8923E-05,1.5984,0.007128,-0.0022331,0.10235,0.20337
-7.6286E-05,1.5995,0.009363,-0.0032395,0.12613,0.24411
-0.00011535,1.6009,0.012019,-0.0045723,0.15254,0.28738
-0.00016969,1.6026,0.015117,-0.0062972,0.18145,0.33254
-0.0002436,1.6045,0.018673,-0.0084836,0.21265,0.37889
-0.00034203,1.6068,0.022696,-0.011203,0.24591,0.42572
-0.00047067,1.6095,0.027187,-0.014526,0.28097,0.47233
-0.00063591,1.6125,0.03214,-0.018522,0.31751,0.51803
-0.0008448,1.6158,0.037543,-0.023256,0.35521,0.56219
-0.001105,1.6196,0.043377,-0.028786,0.39373,0.60423
-0.0014248,1.6237,0.049619,-0.035164,0.43272,0.64368
-0.0018127,1.6282,0.05624,-0.042431,0.47182,0.68013
-0.002278,1.6331,0.06321,-0.05062,0.5107,0.71329
-0.0028298,1.6384,0.070495,-0.059751,0.54903,0.74298
-0.0034778,1.6441,0.078058,-0.069835,0.58649,0.76913
-0.0042313,1.6502,0.085865,-0.080873,0.6228,0.79176
-0.0051,1.6566,0.093882,-0.092855,0.65772,0.81101
-0.0060931,1.6633,0.10207,-0.10577,0.69103,0.8271
-0.0072198,1.6704,0.11041,-0.11959,0.72256,0.84035
