y,z,phi,vy,vz,phi_dot
0.63898,2.9941,2.9111,0.85292,0.32172,7.0549
0.64751,2.9968,2.9817,0.85292,0.22362,7.0549
0.65604,2.9986,3.0522,0.85292,0.12552,7.0549
0.66457,2.9994,3.1228,0.85292,0.027419,7.0549
0.6731,2.9991,3.1933,0.85292,-0.070681,7.0549
0.68163,2.9979,3.2639,0.85292,-0.16878,7.0549
0.69016,2.9958,3.3344,0.85292,-0.26688,7.0549
0.69868,2.9926,3.405,0.85292,-0.36498,7.0549
0.70721,2.9885,3.4755,0.85292,-0.46308,7.0549
0.71574,2.9833,3.5461,0.85292,-0.56118,7.0549
0.72427,2.9772,3.6166,0.85292,-0.65928,7.0549
0.7328,2.9702,3.6872,0.85292,-0.75738,7.0549
0.74133,2.9621,3.7577,0.85292,-0.85548,7.0549
0.74986,2.953,3.8283,0.85292,-0.95358,7.0549
0.75839,2.943,3.8988,0.85292,-1.0517,7.0549
0.76692,2.932,3.9694,0.85292,-1.1498,7.0549
0.77545,2.92,4.0399,0.85292,-1.2479,7.0549
0.78398,2.9071,4.1105,0.85292,-1.346,7.0549
0.79251,2.8931,4.181,0.85292,-1.4441,7.0549
0.80103,2.8782,4.2516,0.85292,-1.5422,7.0549
0.80956,2.8623,4.3221,0.85292,-1.6403,7.0549
0.81809,2.8454,4.3927,0.85292,-1.7384,7.0549
0.82662,2.8275,4.4632,0.85292,-1.8365,7.0549
0.83515,2.8086,4.5338,0.85292,-1.9346,7.0549
0.84368,2.7888,4.6043,0.85292,-2.0327,7.0549
0.85221,2.768,4.6749,0.85292,-2.1308,7.0549
0.86074,2.7342,4.783,0.85335,-2.2837,7.0549
0.86929,2.7108,4.8535,0.85499,-2.3817,7.0545
0.87788,2.6865,4.924,0.8585,-2.4793,7.0528
0.88652,2.6612,4.9946,0.86439,-2.5762,7.0487
0.89525,2.635,5.065,0.87304,-2.6719,7.0405
0.9041,2.6078,5.1353,0.88471,-2.7659,7.0264
0.91309,2.5797,5.2055,0.89952,-2.8574,7.0047
0.92227,2.5507,5.2754,0.91747,-2.9459,6.9734
0.93165,2.5208,5.3449,0.93845,-3.0307,6.9307
0.94128,2.4901,5.414,0.96223,-3.1112,6.875
0.95116,2.4586,5.4824,0.98849,-3.1865,6.8046
0.96133,2.4264,5.55,1.0168,-3.2562,6.7183
0.9718,2.3935,5.6167,1.0467,-3.3196,6.6149
0.98257,2.36,5.6823,1.0777,-3.3762,6.4936
0.99366,2.326,5.7465,1.109,-3.4254,6.3538
1.0051,2.2915,5.8093,1.1402,-3.4668,6.1952
1.0168,2.2567,5.8704,1.1704,-3.5,6.0177
1.0288,2.2215,5.9296,1.1991,-3.5247,5.8217
1.041,2.1862,5.9867,1.2256,-3.5407,5.6076
1.0535,2.1508,6.0417,1.2492,-3.5476,5.3762
1.0662,2.1153,6.0942,1.2692,-3.5456,5.1285
1.0791,2.0799,6.1442,1.2851,-3.5344,4.8659
1.092,2.0446,6.1915,1.2964,-3.5142,4.5897
1.105,2.0096,6.2359,1.3026,-3.485,4.3016
1.1181,1.975,6.2775,1.3034,-3.447,4.0034
1.1311,1.9407,6.316,1.2986,-3.4005,3.6971
1.1439,1.907,6.3514,1.2878,-3.3456,3.3846
1.1567,1.8738,6.3837,1.2712,-3.2829,3.0681
1.1691,1.8413,6.4127,1.2488,-3.2126,2.7498
1.1813,1.8096,6.4387,1.2208,-3.1353,2.4318
1.1932,1.7787,6.4614,1.1875,-3.0513,2.1162
1.2047,1.7486,6.481,1.1492,-2.9613,1.8053
1.2158,1.7194,6.4975,1.1065,-2.8658,1.5011
1.2264,1.6913,6.511,1.0599,-2.7654,1.2057
1.2365,1.6642,6.5217,1.0101,-2.6607,0.9208
1.2461,1.6381,6.5295,0.95781,-2.5523,0.64833
1.2551,1.6131,6.5347,0.90362,-2.4408,0.38985
1.2636,1.5893,6.5373,0.84829,-2.3269,0.14683
1.2715,1.5666,6.5377,0.7925,-2.2112,-0.079434
1.2789,1.5451,6.5358,0.73693,-2.0944,-0.28786
1.2857,1.5247,6.532,0.68218,-1.977,-0.47756
