y,z,phi,vy,vz,phi_dot
0,0.88853,2.7767E-10,0,7.3285E-12,-4.447E-09
-1.5005E-08,0.88853,6.0629E-05,-3.001E-06,0.00023426,0.028364
-4.2055E-07,0.88854,0.00139,-7.8107E-05,0.003124,0.29944
-3.6373E-06,0.88861,0.0073719,-0.00056524,0.012926,0.95398
-1.786E-05,0.88883,0.021094,-0.0022793,0.032693,1.7888
-6.1152E-05,0.8893,0.042405,-0.006379,0.062453,2.4039
-0.00016194,0.8901,0.067374,-0.013779,0.09898,2.4899
-0.00035328,0.89129,0.090352,-0.024488,0.13695,2.0313
-0.00066336,0.89283,0.10712,-0.037528,0.17102,1.3125
-0.001109,0.89468,0.11706,-0.051598,0.19803,0.72461
-0.0016966,0.89677,0.1228,-0.065919,0.2185,0.481
-0.0024286,0.89904,0.12745,-0.08048,0.23591,0.46348
-0.0033084,0.90149,0.13209,-0.09548,0.25286,0.45478
-0.0043401,0.9041,0.13602,-0.11087,0.26883,0.29181
-0.0055271,0.90686,0.13709,-0.12653,0.28442,-0.11212
-0.006872,0.90979,0.13345,-0.14244,0.30292,-0.60931
-0.0083769,0.91294,0.1256,-0.15855,0.32838,-0.90165
-0.010043,0.91639,0.11698,-0.17466,0.36279,-0.73196
-0.01187,0.92022,0.11272,-0.19071,0.40436,-0.043213
-0.013858,0.92448,0.11723,-0.20697,0.44763,0.97536
-0.016013,0.92916,0.13217,-0.22395,0.48573,1.9779
-0.018343,0.93417,0.15567,-0.24217,0.51379,2.6513
-0.020865,0.9394,0.18377,-0.26212,0.53193,2.9101
-0.023599,0.94479,0.21312,-0.2846,0.54522,2.9441
-0.026573,0.9503,0.24192,-0.31025,0.55791,2.6375
-0.029817,0.95595,0.25714,-0.33858,0.57071,-0.21835
-0.033344,0.96173,0.22572,-0.36676,0.58676,-6.4638
-0.037119,0.96771,0.12747,-0.38838,0.61073,-12.763
-0.04104,0.97397,-0.012431,-0.39568,0.64336,-14.004
-0.044952,0.98058,-0.12498,-0.38678,0.67745,-7.1149
-0.048744,0.98748,-0.13153,-0.37165,0.69841,6.5935
-0.052427,0.99445,0.012443,-0.36503,0.68989,21.94
-0.056104,1.0011,0.29273,-0.37025,0.64261,33.047
-0.059841,1.0072,0.65037,-0.37726,0.56165,37.451
-0.063625,1.0123,1.0284,-0.37948,0.46512,37.901
-0.06742,1.0165,1.4074,-0.37948,0.36702,37.901
-0.071215,1.0197,1.7864,-0.37948,0.26892,37.901
-0.07501,1.0219,2.1654,-0.37948,0.17082,37.901
-0.078804,1.0231,2.5444,-0.37948,0.072721,37.901
-0.082599,1.0233,2.9234,-0.37948,-0.025379,37.901
-0.086394,1.0226,3.3024,-0.37948,-0.12348,37.901
-0.090189,1.0209,3.6815,-0.37948,-0.22158,37.901
-0.093983,1.0181,4.0605,-0.37948,-0.31968,37.901
-0.097778,1.0145,4.4395,-0.37948,-0.41778,37.901
-0.10157,1.0098,4.8185,-0.37948,-0.51588,37.901
-0.10535,1.0041,5.1972,-0.37643,-0.61313,37.775
-0.10906,0.99756,5.5697,-0.36509,-0.70124,36.368
-0.11262,0.99019,5.9149,-0.34764,-0.76682,32.11
-0.11604,0.98233,6.2007,-0.33517,-0.801,24.519
-0.1194,0.97428,6.3973,-0.33815,-0.80314,14.553
-0.12289,0.96635,6.4903,-0.35815,-0.78004,4.1604
-0.12661,0.95873,6.4863,-0.38612,-0.74268,-4.4955
-0.13058,0.9515,6.4116,-0.40922,-0.70247,-9.8039
-0.13473,0.94466,6.3034,-0.41933,-0.66796,-11.211
-0.1389,0.93811,6.1985,-0.41561,-0.64306,-9.3352
-0.14299,0.93177,6.1227,-0.40161,-0.627,-5.6775
-0.1469,0.92555,6.0849,-0.38175,-0.61586,-2.0018
-0.15061,0.91945,6.0783,-0.35947,-0.60516,0.40393
-0.15409,0.91346,6.0878,-0.337,-0.59242,1.2852
-0.15736,0.9076,6.1013,-0.31558,-0.57814,1.3782
-0.16041,0.9019,6.1152,-0.29564,-0.56355,1.3887
-0.16328,0.89634,6.1291,-0.27704,-0.54735,1.4008
-0.16596,0.89097,6.1432,-0.25938,-0.52636,1.4031
-0.16847,0.88584,6.1571,-0.24244,-0.49775,1.371
-0.17081,0.88104,6.1704,-0.22631,-0.46099,1.2844
-0.173,0.87664,6.1826,-0.21134,-0.41879,1.1445
-0.17504,0.87266,6.1932,-0.19796,-0.37646,0.98009
-0.17697,0.86909,6.2022,-0.18643,-0.33982,0.83543
-0.17878,0.86583,6.2101,-0.17672,-0.31248,0.74752
-0.18051,0.86281,6.2174,-0.16856,-0.29376,0.72191
-0.18216,0.85995,6.2247,-0.16152,-0.27911,0.72853
-0.18374,0.85723,6.232,-0.15534,-0.26485,0.73986
-0.18527,0.85465,6.2395,-0.14997,-0.24991,0.76047
-0.18675,0.85224,6.2472,-0.14534,-0.23197,0.78828
-0.18818,0.85003,6.2552,-0.14144,-0.20782,0.79951
-0.18958,0.84811,6.2631,-0.13832,-0.1754,0.76216
-0.19095,0.84655,6.2702,-0.13605,-0.13553,0.65708
-0.1923,0.84541,6.276,-0.13463,-0.092471,0.49246
-0.19365,0.84469,6.28,-0.13391,-0.052782,0.30416
-0.19499,0.84432,6.2822,-0.13364,-0.022893,0.14089
-0.19632,0.84419,6.283,-0.13357,-0.0060961,0.039639
-0.19766,0.84416,6.2832,-0.13356,-0.00050542,0.0034418
-0.19899,0.84416,6.2832,-0.13356,2.5998E-12,-6.8674E-11
