y,z,phi,vy,vz,phi_dot
0.22285,2.6212,2.4475,-0.75383,0.93138,7.3061
0.21531,2.63,2.5206,-0.75383,0.83328,7.3061
0.20777,2.6379,2.5936,-0.75383,0.73518,7.3061
0.20023,2.6447,2.6667,-0.75383,0.63708,7.3061
0.1927,2.6506,2.7398,-0.75383,0.53898,7.3061
0.18516,2.6555,2.8128,-0.75383,0.44088,7.3061
0.17762,2.6594,2.8859,-0.75383,0.34278,7.3061
0.17008,2.6624,2.9589,-0.75383,0.24468,7.3061
0.16254,2.6643,3.032,-0.75383,0.14658,7.3061
0.155,2.6653,3.1051,-0.75383,0.048476,7.3061
0.14747,2.6653,3.1781,-0.75383,-0.049624,7.3061
0.13993,2.6643,3.2512,-0.75383,-0.14772,7.3061
0.13239,2.6623,3.3242,-0.75383,-0.24582,7.3061
0.12485,2.6594,3.3973,-0.75383,-0.34392,7.3061
0.11731,2.6555,3.4704,-0.75383,-0.44202,7.3061
0.10977,2.6505,3.5434,-0.75383,-0.54012,7.3061
0.10224,2.6446,3.6165,-0.75383,-0.63822,7.3061
0.094698,2.6378,3.6895,-0.75383,-0.73632,7.3061
0.08716,2.6299,3.7626,-0.75383,-0.83442,7.3061
0.079621,2.6211,3.8357,-0.75383,-0.93252,7.3061
0.072083,2.6113,3.9087,-0.75383,-1.0306,7.3061
0.064545,2.6005,3.9818,-0.75383,-1.1287,7.3061
0.057006,2.5887,4.0549,-0.75383,-1.2268,7.3061
0.049468,2.5759,4.1279,-0.75383,-1.3249,7.3061
0.04193,2.5622,4.201,-0.75383,-1.423,7.3061
0.034391,2.5475,4.274,-0.75383,-1.5211,7.3061
0.026853,2.5318,4.3471,-0.75383,-1.6192,7.3061
0.019315,2.5151,4.4202,-0.75383,-1.7173,7.3061
0.011776,2.4974,4.4932,-0.75383,-1.8154,7.3061
0.004238,2.4788,4.5663,-0.75383,-1.9135,7.3061
-0.0033003,2.4592,4.6393,-0.75383,-2.0116,7.3061
-0.010839,2.4386,4.7124,-0.75383,-2.1097,7.3061
-0.018088,2.417,4.7854,-0.69599,-2.2036,7.296
-0.024475,2.3945,4.8583,-0.58149,-2.2891,7.2667
-0.02973,2.3712,4.9307,-0.46948,-2.3666,7.2192
-0.033879,2.3472,5.0026,-0.36022,-2.4363,7.1545
-0.03695,2.3225,5.0737,-0.25398,-2.4985,7.0738
-0.038974,2.2973,5.144,-0.15097,-2.5534,6.9781
-0.039986,2.2715,5.2132,-0.051431,-2.6014,6.8684
-0.040021,2.2453,5.2813,0.044441,-2.6427,6.7457
-0.039117,2.2186,5.3481,0.13645,-2.6775,6.6109
-0.037312,2.1917,5.4135,0.22442,-2.7061,6.4651
-0.034649,2.1645,5.4774,0.3082,-2.7287,6.309
-0.03117,2.1372,5.5397,0.38762,-2.7456,6.1438
-0.026919,2.1097,5.6002,0.46257,-2.7571,5.9701
-0.021942,2.082,5.659,0.53292,-2.7632,5.7889
-0.016284,2.0544,5.716,0.59859,-2.7644,5.6009
-0.0099939,2.0268,5.771,0.65948,-2.7608,5.4071
-0.0031188,1.9992,5.8241,0.71554,-2.7526,5.2082
0.0042926,1.9717,5.8752,0.76672,-2.7401,5.0049
0.012191,1.9444,5.9242,0.81299,-2.7234,4.7979
0.020528,1.9173,5.9711,0.85435,-2.7028,4.5881
0.029254,1.8904,6.016,0.89079,-2.6785,4.376
0.038319,1.8637,6.0586,0.92236,-2.6507,4.1624
0.047677,1.8374,6.0992,0.94909,-2.6197,3.9479
0.057277,1.8113,6.1376,0.97107,-2.5855,3.7331
0.067075,1.7857,6.1739,0.98837,-2.5483,3.5186
0.077022,1.7604,6.208,1.0011,-2.5085,3.305
0.087075,1.7355,6.24,1.0094,-2.4661,3.0928
0.097189,1.7111,6.2698,1.0134,-2.4214,2.8826
0.10732,1.6871,6.2976,1.0134,-2.3745,2.6748
0.11744,1.6636,6.3233,1.0093,-2.3256,2.47
0.12749,1.6406,6.347,1.0016,-2.2748,2.2686
0.13745,1.6181,6.3687,0.99029,-2.2224,2.0711
0.14728,1.5961,6.3885,0.97574,-2.1685,1.8778
0.15695,1.5747,6.4063,0.95814,-2.1132,1.6891
0.16643,1.5539,6.4223,0.93775,-2.0567,1.5055
0.17569,1.5336,6.4364,0.91484,-1.9992,1.3272
0.18471,1.5139,6.4488,0.88967,-1.9408,1.1546
0.19348,1.4948,6.4595,0.86251,-1.8816,0.98792
0.20196,1.4763,6.4686,0.83363,-1.8219,0.82749
0.21014,1.4583,6.4761,0.80331,-1.7616,0.67356
0.21802,1.441,6.4821,0.77182,-1.701,0.52634
0.22557,1.4243,6.4867,0.7394,-1.6402,0.38603
0.2328,1.4082,6.4899,0.70633,-1.5792,0.25282
0.2397,1.3927,6.4917,0.67284,-1.5184,0.12686
0.24626,1.3779,6.4924,0.63917,-1.4576,0.0082809
0.25248,1.3636,6.4919,0.60553,-1.3971,-0.1028
0.25837,1.3499,6.4904,0.57214,-1.337,-0.2063
0.26393,1.3368,6.4878,0.53919,-1.2773,-0.30216
0.26916,1.3244,6.4844,0.50684,-1.2182,-0.39033
0.27407,1.3125,6.4801,0.47527,-1.1597,-0.4708
0.27867,1.3012,6.475,0.44461,-1.1021,-0.54357
0.28296,1.2904,6.4692,0.41499,-1.0452,-0.60868
0.28697,1.2803,6.4628,0.38651,-0.98931,-0.66618
0.2907,1.2707,6.4559,0.35927,-0.93442,-0.71613
0.29416,1.2616,6.4485,0.33335,-0.88062,-0.75865
0.29737,1.253,6.4408,0.30879,-0.82799,-0.79385
0.30035,1.245,6.4327,0.28566,-0.77659,-0.82188
0.30309,1.2375,6.4243,0.26396,-0.7265,-0.84291
0.30563,1.2305,6.4158,0.24373,-0.67777,-0.85712
0.30798,1.2239,6.4072,0.22496,-0.63046,-0.86475
0.31014,1.2179,6.3986,0.20765,-0.58463,-0.86601
0.31214,1.2122,6.3899,0.19176,-0.54033,-0.86118
0.31398,1.2071,6.3814,0.17728,-0.4976,-0.85054
0.31569,1.2023,6.3729,0.16416,-0.45649,-0.8344
0.31727,1.1979,6.3647,0.15235,-0.41705,-0.81308
0.31874,1.1939,6.3567,0.14179,-0.37929,-0.78695
0.32011,1.1903,6.349,0.13243,-0.34326,-0.75638
0.3214,1.1871,6.3416,0.1242,-0.30899,-0.72177
0.3226,1.1841,6.3345,0.11702,-0.27649,-0.68355
0.32374,1.1815,6.3279,0.11083,-0.2458,-0.64216
0.32482,1.1792,6.3217,0.10554,-0.21691,-0.59808
0.32586,1.1772,6.316,0.10107,-0.18986,-0.55179
0.32685,1.1754,6.3107,0.097349,-0.16463,-0.50381
0.32781,1.1739,6.3059,0.094297,-0.14125,-0.4547
0.32874,1.1726,6.3016,0.091836,-0.11971,-0.405
0.32965,1.1715,6.2978,0.08989,-0.10001,-0.3553
0.33054,1.1706,6.2945,0.088386,-0.082144,-0.30622
0.33142,1.1698,6.2917,0.087257,-0.066097,-0.25839
0.33228,1.1692,6.2893,0.086436,-0.051856,-0.21246
0.33315,1.1688,6.2874,0.085863,-0.039405,-0.16911
0.334,1.1685,6.2859,0.085485,-0.028721,-0.12906
0.33486,1.1682,6.2848,0.085251,-0.019777,-0.09301
0.33571,1.1681,6.284,0.085121,-0.012545,-0.061725
0.33656,1.168,6.2836,0.085057,-0.0069903,-0.035975
0.33741,1.1679,6.2833,0.085032,-0.0030761,-0.016554
0.33826,1.1679,6.2832,0.085026,-0.00076103,-0.0042818
0.33911,1.1679,6.2832,0.085025,2.1316E-14,-2.3981E-14
