y,z,phi,vy,vz,phi_dot
-1.1753,1.1628,0.20088,-2.9289,0.297,0.092302
-1.2047,1.166,0.20223,-2.9561,0.33176,0.17724
-1.2344,1.1695,0.20442,-2.9835,0.36641,0.26182
-1.2644,1.1733,0.20746,-3.0111,0.40077,0.34552
-1.2946,1.1775,0.21133,-3.0392,0.43469,0.4278
-1.3252,1.182,0.21601,-3.0677,0.46797,0.50809
-1.356,1.1868,0.22148,-3.0967,0.50045,0.5858
-1.3871,1.192,0.22771,-3.1263,0.53193,0.66034
-1.4185,1.1975,0.23467,-3.1565,0.56221,0.73106
-1.4502,1.2032,0.24232,-3.1874,0.59108,0.79732
-1.4823,1.2093,0.2506,-3.2189,0.61835,0.85843
-1.5146,1.2156,0.25947,-3.2511,0.64378,0.91372
-1.5473,1.2221,0.26886,-3.284,0.66715,0.96245
-1.5803,1.2289,0.27869,-3.3174,0.68824,1.0039
-1.6136,1.2359,0.28891,-3.3514,0.70679,1.0373
-1.6473,1.243,0.29941,-3.3859,0.72258,1.0618
-1.6813,1.2503,0.31011,-3.4208,0.73534,1.0767
-1.7157,1.2577,0.32053,-3.4565,0.74675,0.96956
-1.7505,1.2653,0.32883,-3.4936,0.75891,0.66174
-1.7856,1.2729,0.33325,-3.5319,0.7722,0.20072
-1.8211,1.2807,0.33249,-3.571,0.78694,-0.36927
-1.857,1.2887,0.32564,-3.6101,0.8034,-1.0073
-1.8933,1.2968,0.31224,-3.6485,0.82177,-1.6756
-1.93,1.3051,0.29214,-3.6855,0.8422,-2.3399
-1.967,1.3137,0.26556,-3.72,0.86479,-2.9688
-2.0044,1.3224,0.23298,-3.7513,0.88957,-3.5346
-2.042,1.3315,0.19516,-3.7785,0.91652,-4.0125
-2.0799,1.3408,0.15309,-3.8008,0.94558,-4.3811
-2.118,1.3504,0.10796,-3.8178,0.9766,-4.6224
-2.1563,1.3603,0.061122,-3.8288,1.0094,-4.7214
-2.1946,1.3706,0.014051,-3.8338,1.0437,-4.6665
-2.2329,1.3812,-0.031667,-3.8326,1.0793,-4.4494
-2.2712,1.3922,-0.074379,-3.8255,1.1157,-4.0649
-2.3094,1.4035,-0.1124,-3.8128,1.1526,-3.5113
-2.3474,1.4152,-0.14404,-3.7954,1.1895,-2.7899
-2.3853,1.4273,-0.16765,-3.7743,1.2259,-1.9054
-2.4229,1.4397,-0.18163,-3.7508,1.2612,-0.86579
-2.4603,1.4525,-0.18449,-3.7264,1.2947,0.31776
-2.4974,1.4656,-0.17485,-3.703,1.3258,1.6308
-2.5344,1.479,-0.1515,-3.6822,1.3536,3.0556
-2.5711,1.4927,-0.11343,-3.6659,1.3775,4.5711
-2.6077,1.5065,-0.059856,-3.6557,1.3965,6.1532
