Thrust,Torque
0.13263,-1.8484E-07
0.13393,-1.174E-06
0.13736,-3.0483E-06
0.14378,-5.3124E-06
0.15389,-7.0994E-06
0.16816,-7.3446E-06
0.18688,-4.9303E-06
0.21008,1.1966E-06
0.23761,1.1932E-05
0.26909,2.7947E-05
0.30395,4.9638E-05
0.34146,7.7099E-05
0.38072,0.00011012
0.42074,0.00014816
0.46043,0.00019043
0.49867,0.00023586
0.53431,0.00028317
0.56626,0.00033092
0.59348,0.00037756
0.61504,0.00042149
0.63016,0.00046114
0.63824,0.00049501
0.63888,0.00052176
0.63187,0.00054022
0.61726,0.00054953
0.59528,0.00054909
0.56637,0.00053869
0.53116,0.00051846
0.49043,0.00048894
0.44513,0.00045108
0.3963,0.00040619
0.34509,0.00035594
0.29279,0.0003023
0.24073,0.00024746
0.19037,0.00019374
0.14322,0.00014346
0.10082,9.88E-05
0.064664,6.1608E-05
0.036073,3.3192E-05
0.015957,1.4081E-05
0.0044489,3.736E-06
0.00030616,2.4261E-07
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0018057,-1.6899E-07
0.0091373,-1.2656E-06
0.02169,-3.994E-06
0.038375,-8.8422E-06
0.058111,-1.611E-05
0.079931,-2.5937E-05
0.103,-3.8323E-05
0.12659,-5.3156E-05
0.15012,-7.023E-05
0.17309,-8.9263E-05
0.19507,-0.00010992
0.21572,-0.00013182
0.23478,-0.00015456
0.25201,-0.00017771
0.26724,-0.00020087
0.28031,-0.00022361
0.29113,-0.00024553
0.29962,-0.00026628
0.30573,-0.00028549
0.30943,-0.00030287
0.31073,-0.00031816
0.30967,-0.00033111
0.30632,-0.00034157
0.30076,-0.00034939
0.29315,-0.00035449
0.28363,-0.00035683
0.2724,-0.00035641
0.2597,-0.0003533
0.24579,-0.00034757
0.23094,-0.00033937
0.21547,-0.00032885
0.19969,-0.00031622
0.18393,-0.00030169
0.1685,-0.00028553
0.15372,-0.00026799
0.13989,-0.00024936
0.12727,-0.00022992
0.11609,-0.00020998
0.10654,-0.00018981
0.098761,-0.0001697
0.092838,-0.00014994
0.088802,-0.00013078
0.086623,-0.00011244
0.086214,-9.516E-05
0.08743,-7.9109E-05
0.090072,-6.4442E-05
0.093893,-5.1277E-05
0.098608,-3.9694E-05
0.1039,-2.9733E-05
0.10944,-2.1395E-05
0.1149,-1.4638E-05
0.11995,-9.3803E-06
0.12433,-5.4996E-06
0.12782,-2.8357E-06
0.13029,-1.1934E-06
0.13175,-3.4564E-07
0.13235,-3.9186E-08
